FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.1a7e39b0-25e0-36d6-be10-7b4dd70fae90,-55.724,-24.427,2019-07-08T17:40:00,AQUA_M-T,Villa San Isidro Curuguaty,Canindeyú,Paraguay,POINT (-24.427 -55.724)
focos_ams_ontem_hoje_ref.1aa50a3f-6a62-3536-b407-6f8d3307ecdc,-42.572,-2.773,2019-07-08T16:10:00,AQUA_M-T,PAULINO NEVES,MARANHÃO,Brasil,POINT (-2.773 -42.572)
focos_ams_ontem_hoje_ref.1aa5609b-7917-3039-80be-816112ffa04a,-56.675,-21.982,2019-07-08T17:40:00,AQUA_M-T,BELA VISTA,MATO GROSSO DO SUL,Brasil,POINT (-21.982 -56.675)
focos_ams_ontem_hoje_ref.1ab822a3-b6c9-3b8d-adda-b10f99a83678,-58.028,-27.282,2019-07-08T17:40:00,AQUA_M-T,Itatí,Corrientes,Argentina,POINT (-27.282 -58.028)
focos_ams_ontem_hoje_ref.1ad83555-3b96-3ce4-8ab4-db73f1966862,-57.298,-33.747,2019-07-08T17:40:00,AQUA_M-T,n.a126,Soriano,Uruguay,POINT (-33.747 -57.298)
focos_ams_ontem_hoje_ref.1aec9fe0-bcb3-3acc-bdf9-2e61bbba79aa,-54.767,-11.648,2019-07-08T17:45:00,AQUA_M-T,CLÁUDIA,MATO GROSSO,Brasil,POINT (-11.648 -54.767)
focos_ams_ontem_hoje_ref.1b135c52-a733-3ca6-9e8e-35305f9cf7c8,-53.751,-32.232,2019-07-08T17:40:00,AQUA_M-T,n.a54,Cerro Largo,Uruguay,POINT (-32.232 -53.751)
focos_ams_ontem_hoje_ref.1b23d957-b195-3723-b496-6a9548bb18ae,-55.26,-24.319,2019-07-08T17:40:00,AQUA_M-T,Villa Ygatimí,Canindeyú,Paraguay,POINT (-24.319 -55.26)
focos_ams_ontem_hoje_ref.1b4a144b-f339-3fad-8a3e-d89d46c6e57f,-56.925,-28.614,2019-07-08T17:40:00,AQUA_M-T,San Martín,Corrientes,Argentina,POINT (-28.614 -56.925)
focos_ams_ontem_hoje_ref.1b95e1ee-b91c-37f1-9bb3-72db0c36440d,-47.653,-3.535,2019-07-08T16:10:00,AQUA_M-T,PARAGOMINAS,PARÁ,Brasil,POINT (-3.535 -47.653)
focos_ams_ontem_hoje_ref.1bbf54ea-ee91-303b-8837-fd609ef8bcbb,-63.691,-13.3,2019-07-08T17:45:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-13.3 -63.691)
focos_ams_ontem_hoje_ref.1cf88b50-964b-351e-b19f-51b6d660203d,-66.439,-13.536,2019-07-08T17:45:00,AQUA_M-T,Yacuma,El Beni,Bolivia,POINT (-13.536 -66.439)
